=== FITTRACK PRO — Sorted Workout Log (Calories Desc) ===
Rank | Type       | Duration | Calories | Steps | AvgHR
-----+------------+----------+----------+-------+------
01   | Idle     | 02:02   | 4.4    | 53 | 68.7

=== Movement Coordinate Log ===
Time,X,Y,Activity,HR
1,150.0,310.0,Idle,72.0
3,132.0,310.0,Idle,72.9
5,174.8,310.0,Idle,73.2
7,238.9,300.0,Running,95.6
9,77.8,301.0,Idle,109.7
11,84.0,346.5,Squats,103.1
13,84.1,319.7,Idle,100.4
15,84.1,310.0,Idle,86.9
17,84.1,310.0,Idle,78.2
19,84.1,310.0,Idle,71.5
21,84.1,310.0,Idle,68.5
23,117.4,300.2,Running,83.1
25,190.9,300.0,Running,99.0
27,144.9,300.0,Running,113.1
29,82.1,309.1,Idle,112.5
31,83.0,310.0,Idle,100.5
33,83.0,310.0,Idle,90.1
35,83.0,310.0,Idle,81.8
37,83.0,310.0,Idle,75.7
39,83.0,310.0,Idle,73.2
41,83.0,310.0,Idle,73.0
43,83.0,310.0,Idle,74.1
45,83.0,310.0,Idle,70.9
47,83.0,310.0,Idle,69.4
49,83.0,310.0,Idle,67.0
51,83.0,310.0,Idle,64.0
53,83.0,310.0,Idle,62.5
55,83.0,310.0,Idle,59.8
57,83.0,310.0,Idle,60.1
59,83.0,310.0,Idle,63.2
61,83.0,310.0,Idle,64.8
63,83.0,310.0,Idle,66.0
65,83.0,310.0,Idle,64.8
67,83.0,310.0,Idle,63.5
69,116.2,300.2,Running,82.0
71,189.7,300.0,Running,101.1
73,151.6,300.0,Running,112.5
75,79.0,309.3,Idle,109.3
77,79.2,310.0,Idle,96.2
79,79.2,310.0,Idle,88.8
81,79.2,310.0,Idle,80.1
83,79.2,310.0,Idle,77.7
85,79.2,310.0,Idle,78.3
87,79.2,310.0,Idle,73.5
89,79.2,310.0,Idle,67.9
91,79.2,310.0,Idle,68.0
93,79.2,310.0,Idle,70.1
95,79.2,310.0,Idle,70.8
97,79.2,349.1,Squats,82.9
99,79.2,350.0,Squats,94.9
101,79.2,340.1,Idle,103.5
103,95.7,308.6,Idle,102.6
105,124.2,310.0,Walking,99.9
107,157.7,310.0,Idle,93.5
109,162.0,310.0,Idle,82.7
111,162.1,310.0,Idle,75.5
113,162.2,310.0,Idle,69.7
115,162.2,310.0,Idle,68.2
117,162.2,310.0,Idle,69.4
119,162.2,310.0,Idle,69.9
121,162.2,310.0,Idle,68.2
